pmid	title	doi	journal	pub_year	cancer_type	modality	task_type	include_decision	exclusion_reason	probable_relevance_score
32991288	Spatial Pyramid Pooling With 3D Convolution Improves Lung Cancer Detection.	10.1109/TCBB.2020.3027744	IEEE/ACM transactions on computational biology and bioinformatics	2022	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bstate.of.the.art\b'	0.0
33718054	Molecular biomarkers in early stage lung cancer.	10.21037/tlcr-20-750	Translational lung cancer research	2021	lung	LDCT	screening	True		0.7
41438413	First Central Asian Forum on Lung Cancer.	10.1016/j.jtocrr.2025.100898	JTO clinical and research reports	2026	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
40593170	Lung cancer screening with low-dose CT: definition of positive, indeterminate, and negative screen results. A nodule management recommendation from the European Society of Thoracic Imaging.	10.1007/s00330-025-11648-4	European radiology	2026	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
39579981	Differentiating Separate Primary Lung Adenocarcinomas From Intrapulmonary Metastases With Emphasis on Pathological and Molecular Considerations: Recommendations From the International Association for the Study of Lung Cancer Pathology Committee.	10.1016/j.jtho.2024.11.016	Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer	2025	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bliterature review\b'	0.0
32238573	Urinary detection of lung cancer in mice via noninvasive pulmonary protease profiling.	10.1126/scitranslmed.aaw0262	Science translational medicine	2020	lung	LDCT	screening	True		0.7
40849438	NLSTseg: A Pixel-level Lung Cancer Dataset Based on NLST LDCT Images.	10.1038/s41597-025-05742-x	Scientific data	2025	lung	LDCT	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
38581618	Recent advances in lung cancer research: unravelling the future of treatment.	10.1007/s13304-024-01841-3	Updates in surgery	2024	lung	LDCT	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
37832324	Rate of benign nodule resection in a lung cancer screening program.	10.1016/j.clinimag.2023.109984	Clinical imaging	2023	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
38848168	LDCT image biomarkers that matter most for the deep learning classification of indeterminate pulmonary nodules.	10.3233/CBM-230444	Cancer biomarkers : section A of Disease markers	2025	lung	LDCT	screening	True		0.9
31558626	Evaluation of cardiovascular risk in a lung cancer screening cohort.	10.1136/thoraxjnl-2018-212812	Thorax	2019	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
40133038	Cost-effective shallow genome-wide sequencing for profiling plasma cfDNA signatures to enhance lung cancer detection.	10.1080/14796694.2025.2483154	Future oncology (London, England)	2025	lung	LDCT	screening	True		0.95
34164281	Screen-detected solid nodules: from detection of nodule to structured reporting.	10.21037/tlcr-20-296	Translational lung cancer research	2021	lung	LDCT	screening	True		0.9
33740739	LNDb challenge on automatic lung cancer patient management.	10.1016/j.media.2021.102027	Medical image analysis	2021	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bstate.of.the.art\b'	0.0
40956165	External Test of a Deep Learning Algorithm for Pulmonary Nodule Malignancy Risk Stratification Using European Screening Data.	10.1148/radiol.250874	Radiology	2025	lung	LDCT	screening	True		0.9
40841456	Liquid biopsy diagnostics for non-small cell lung cancer via elucidation of tRNA signatures.	10.1038/s43856-025-01068-2	Communications medicine	2025	lung	LDCT	early_detection	True		0.67
40703368	Impact of pulmonary tuberculosis on lung cancer screening: a narrative review.	10.12771/emj.2025.00052	Ewha medical journal	2025	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bnarrative review\b'	0.0
40781832	Hybrid phantom for lung CT: Design and validation.	10.1002/mp.17990	Medical physics	2025	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
39964263	Association of Epicardial Adipose Tissue Changes on Serial Chest CT Scans with Mortality: Insights from the National Lung Screening Trial.	10.1148/radiol.240473	Radiology	2025	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\beditorial\b'	0.0
33592843	Early detection of lung cancer in Czech high-risk asymptomatic individuals (ELEGANCE): A study protocol.	10.1097/MD.0000000000023878	Medicine	2021	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
40762850	External Testing of a Deep Learning Model for Lung Cancer Risk from Low-Dose Chest CT.	10.1148/radiol.243393	Radiology	2025	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\beditorial\b'	0.0
32754420	Using Sequential Decision Making to Improve Lung Cancer Screening Performance.	10.1109/ACCESS.2019.2935763	IEEE access : practical innovations, open solutions	2019	lung	LDCT	screening	True		0.7
34264825	Lung Nodule Malignancy Prediction in Sequential CT Scans: Summary of ISBI 2018 Challenge.	10.1109/TMI.2021.3097665	IEEE transactions on medical imaging	2021	lung	LDCT	screening	True		0.9
37806740	Lung Cancer Screening: The European Perspective.	10.1016/j.thorsurg.2023.04.017	Thoracic surgery clinics	2023	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
39907586	Performance of Lung Cancer Prediction Models for Screening-detected, Incidental, and Biopsied Pulmonary Nodules.	10.1148/ryai.230506	Radiology. Artificial intelligence	2025	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bcommentary\b'	0.0
40090067	ChatGPT vs. Gemini: Comparative accuracy and efficiency in Lung-RADS score assignment from radiology reports.	10.1016/j.clinimag.2025.110455	Clinical imaging	2025	lung	LDCT	screening	True		1.0
39678870	Precise diagnosis and prognosis assessment of malignant lung nodules: a narrative review.	10.21037/jtd-24-1058	Journal of thoracic disease	2024	lung	LDCT	diagnosis	False	Review/meta-analysis/editorial: matched '\bnarrative review\b'	0.0
33472890	Assessing Lung Cancer Absolute Risk Trajectory Based on a Polygenic Risk Model.	10.1158/0008-5472.CAN-20-1237	Cancer research	2021	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
41716936	Evaluation of an Artificial Intelligence Defined Lung Nodule Malignancy Score in Incidental Pulmonary Nodules: The CREATE Study.	10.1016/j.mcpdig.2026.100335	Mayo Clinic proceedings. Digital health	2026	lung	LDCT	screening	True		0.7
36086366	Unsupervised Approach for Malignancy Assessment of Lung Nodules in Computed Tomography Scans Using Radiomic Features.	10.1109/EMBC48229.2022.9871704	Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference	2022	lung	LDCT	screening	True		0.7
40824206	Early detection of cardiovascular disease in chest population screening: challenges for a rapidly emerging cardiac CT application.	10.1093/bjr/tqaf195	The British journal of radiology	2025	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
38223072	A two-stage deep-learning framework for CT denoising based on a clinically structure-unaligned paired data set.	10.21037/qims-23-403	Quantitative imaging in medicine and surgery	2024	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
41429086	Neighborhood matters: Predicting lung cancer screening adherence with explainable AI.	10.1016/j.lungcan.2025.108882	Lung cancer (Amsterdam, Netherlands)	2026	lung	LDCT	screening	True		0.7
35813317	The feasibility of granzyme B levels using an amperometric immunosensor for lung cancer detection.	10.21037/atm-22-470	Annals of translational medicine	2022	lung	LDCT	diagnosis	True		0.6
30419190	Financial Analysis of Free Lung Cancer Screening Program Shows Profitability Using Broader NCCN Guidelines.	10.1016/j.athoracsur.2018.09.056	The Annals of thoracic surgery	2019	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
31947269	Hybrid Neural Networks for Mortality Prediction from LDCT Images.	10.1109/EMBC.2019.8857180	Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference	2019	lung	LDCT	diagnosis	True		0.8
41303058	Redefining the Diagnostic and Therapeutic Landscape of Non-Small Cell Lung Cancer in the Era of Precision Medicine.	10.3390/jcm14228021	Journal of clinical medicine	2025	lung	LDCT	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
40149278	Development of a miRNA-Based Model for Lung Cancer Detection.	10.3390/cancers17060942	Cancers	2025	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bliterature review\b'	0.0
41319254	Identification of PIWI-interacting RNAs based models for lung adenocarcinoma early detection: a multicenter cohort study.	10.1186/s43556-025-00368-2	Molecular biomedicine	2025	lung	LDCT	screening	True		0.7
38106099	Age-related Muscle Fat Infiltration in Lung Screening Participants: Impact of Smoking Cessation.	10.1101/2023.12.05.23299258	medRxiv : the preprint server for health sciences	2023	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
36568242	The natural growth history of persistent pulmonary subsolid nodules: Radiology, genetics, and clinical management.	10.3389/fonc.2022.1011712	Frontiers in oncology	2022	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
40334175	Optimizing Strategy for Lung Cancer Screening: From Risk Prediction to Clinical Decision Support.	10.1200/CCI-24-00291	JCO clinical cancer informatics	2025	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
32504345	Automated lung cancer diagnosis using three-dimensional convolutional neural networks.	10.1007/s11517-020-02197-7	Medical & biological engineering & computing	2020	lung	LDCT	diagnosis	True		0.8
37870625	Influence of CT dose reduction on AI-driven malignancy estimation of incidental pulmonary nodules.	10.1007/s00330-023-10348-1	European radiology	2024	lung	LDCT	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
41975727	Identifying a Critical Blind Spot: How Commercial AI (CAD) Systems Fail to Detect Faint Ground-Glass Opacities at -730 HU on Low-Dose CT.	10.3390/diagnostics16071014	Diagnostics (Basel, Switzerland)	2026	lung	LDCT	screening	True		0.95
32027538	The International Association for the Study of Lung Cancer Early Lung Imaging Confederation.	10.1200/CCI.19.00099	JCO clinical cancer informatics	2020	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
39017691	3D U-Net Neural Network Architecture-Assisted LDCT to Acquire Vertebral Morphology Parameters: A Vertebral Morphology Comprehensive Analysis in a Chinese Population.	10.1007/s00223-024-01255-8	Calcified tissue international	2024	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
35693786	A Machine-Learning Approach to Developing a Predictive Signature Based on Transcriptome Profiling of Ground-Glass Opacities for Accurate Classification and Exploring the Immune Microenvironment of Early-Stage LUAD.	10.3389/fimmu.2022.872387	Frontiers in immunology	2022	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
29571995	Pre-operative quantification of pulmonary function using hybrid-SPECT/low-dose-CT: A pilot study.	10.1016/j.lungcan.2018.02.010	Lung cancer (Amsterdam, Netherlands)	2018	other	LDCT	diagnosis	False	No cancer mention	0.0
30607311	Delta Radiomics Improves Pulmonary Nodule Malignancy Prediction in Lung Cancer Screening.	10.1109/ACCESS.2018.2884126	IEEE access : practical innovations, open solutions	2018	lung	LDCT	screening	True		0.7
37804011	Clinical Study of Artificial Intelligence in Imaging Diagnosis of False Positive Lesions of Pulmonary Nodules.	10.29271/jcpsp.2023.10.1087	Journal of the College of Physicians and Surgeons--Pakistan : JCPSP	2023	lung	LDCT	diagnosis	True		0.6
40883523	Artificial intelligence as an independent reader of risk-dominant lung nodules: influence of CT reconstruction parameters.	10.1007/s00330-025-11949-8	European radiology	2026	lung	LDCT	screening	True		0.7
35535966	Advances in lung cancer screening and early detection.	10.20892/j.issn.2095-3941.2021.0690	Cancer biology & medicine	2022	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
35688535	Pearls and Pitfalls in Lung Cancer CT Screening.	10.1053/j.sult.2022.03.002	Seminars in ultrasound, CT, and MR	2022	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
32917666	Radiomics Improves Cancer Screening and Early Detection.	10.1158/1055-9965.EPI-20-0075	Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology	2020	lung	LDCT	screening	True		0.7
37958411	Artificial Intelligence and Lung Cancer: Impact on Improving Patient Outcomes.	10.3390/cancers15215236	Cancers	2023	lung	LDCT	screening	True		1.0
37686619	Artificial Intelligence in Lung Cancer Screening: The Future Is Now.	10.3390/cancers15174344	Cancers	2023	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bnarrative review\b'	0.0
34478913	Interpretative computer-aided lung cancer diagnosis: From radiology analysis to malignancy evaluation.	10.1016/j.cmpb.2021.106363	Computer methods and programs in biomedicine	2021	lung	LDCT	diagnosis	True		0.9
33718048	Lung cancer screening and smoking cessation efforts.	10.21037/tlcr-20-899	Translational lung cancer research	2021	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
29454784	Coronary Artery Calcium Scores and Atherosclerotic Cardiovascular Disease Risk Stratification in Smokers.	10.1016/j.jcmg.2017.12.017	JACC. Cardiovascular imaging	2019	lung	LDCT	screening	True		0.7
41726431	Automating Lung-RADS Categorization And Follow-Up Recommendations Using In-Context Learning With Large Language Models.	10.21203/rs.3.rs-24642/v4	AMIA ... Annual Symposium proceedings. AMIA Symposium	2024	lung	LDCT	screening	True		0.8
31256186	Application of 18F-FDG PET-CT in the management of pulmonary nodule and mass - a pictorial review.		The Medical journal of Malaysia	2019	lung	LDCT	screening	True		0.8
41308576	Potential for AI as first reader in lung cancer screening.	10.1016/j.ejrad.2025.112561	European journal of radiology	2026	lung	LDCT	screening	True		0.7
41830914	Integrative approaches in lung cancer diagnosis: bridging molecular biomarkers and AI driven imaging.	10.1080/1354750X.2026.2644329	Biomarkers : biochemical indicators of exposure, response, and susceptibility to chemicals	2026	lung	LDCT	diagnosis	True		1.0
30759893	Lung Cancer Screening, Towards a Multidimensional Approach: Why and How?	10.3390/cancers11020212	Cancers	2019	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
33261057	Artificial Intelligence Tools for Refining Lung Cancer Screening.	10.3390/jcm9123860	Journal of clinical medicine	2020	lung	LDCT	screening	True		0.7
35768005	Standardized 18F-FDG PET/CT radiomic features provide information on PD-L1 expression status in treatment-naïve patients with non-small cell lung cancer.	10.1055/a-1816-6950	Nuklearmedizin. Nuclear medicine	2022	lung	LDCT	diagnosis	True		0.7
39484267	Body composition as a biomarker for assessing future lung cancer risk.	10.1101/2024.10.14.24315477	medRxiv : the preprint server for health sciences	2024	lung	LDCT	screening	True		0.7
32623102	High prevalence of abdominal aortic aneurysms in patients with lung cancer.	10.1016/j.jvs.2020.05.069	Journal of vascular surgery	2021	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
39643515	The Pivotal Role of Baseline LDCT for Lung Cancer Screening in the Era of Artificial Intelligence.	10.1016/j.arbres.2024.11.001	Archivos de bronconeumologia	2025	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bnarrative review\b'	0.0
41791823	"The ""Inflammatory-Mutagenic"" Landscape of Systemic Sclerosis (SSc)-Associated Lung Cancer: Distinct Genomics and Therapeutic Implications."	10.1016/j.jtho.2025.12.006	Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer	2026	lung	other	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
31307017	Predicting lung nodule malignancies by combining deep convolutional neural network and handcrafted features.	10.1088/1361-6560/ab326a	Physics in medicine and biology	2019	lung	LDCT	screening	True		0.9
41367580	Robotic-assisted and electromagnetic navigation bronchoscopy for multi-focal lung cancers: a narrative review.	10.21037/tlcr-2025-943	Translational lung cancer research	2025	lung	LDCT	diagnosis	False	Review/meta-analysis/editorial: matched '\bnarrative review\b'	0.0
31519196	Peripheral arterial disease and systematic detection of circulating tumor cells: rationale and design of the DETECTOR prospective cohort study.	10.1186/s12872-019-1193-1	BMC cardiovascular disorders	2019	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
36600173	Extracardiac findings with increased perfusion during clinical O-15-H2O PET/CT myocardial perfusion imaging: A case series.	10.1007/s12350-022-03156-5	Journal of nuclear cardiology : official publication of the American Society of Nuclear Cardiology	2023	lung	LDCT	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
33408594	Artificial Intelligence and its future potential in lung cancer screening.	10.17179/excli2020-3095	EXCLI journal	2020	lung	AI_model	screening	True		0.8
35468494	Generative models improve radiomics performance in different tasks and different datasets: An experimental study.	10.1016/j.ejmp.2022.04.008	Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB)	2022	lung	LDCT	diagnosis	True		0.8
29594181	Predicting malignant nodules by fusing deep features with classical radiomics features.	10.1117/1.JMI.5.1.011021	Journal of medical imaging (Bellingham, Wash.)	2018	lung	LDCT	screening	True		0.9
40847012	An intelligent diagnostic model for pulmonary nodules utilizing chest radiographic imagery and its application in community-based lung cancer screening.	10.1038/s41416-025-03147-6	British journal of cancer	2025	lung	LDCT	screening	True		1.0
34164287	Lung cancer screening: who pays? Who receives? The European perspectives.	10.21037/tlcr-20-677	Translational lung cancer research	2021	lung	LDCT	screening	True		0.7
40471074	Radiology: Cardiothoracic Imaging Highlights 2024.	10.1148/ryct.250064	Radiology. Cardiothoracic imaging	2025	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\breview article\b'	0.0
41161557	Vision-language model-based semantic-guided imaging biomarker for lung nodule malignancy prediction.	10.1016/j.jbi.2025.104947	Journal of biomedical informatics	2025	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bstate.of.the.art\b'	0.0
38254644	Combining Low-Dose Computer-Tomography-Based Radiomics and Serum Metabolomics for Diagnosis of Malignant Nodules in Participants of Lung Cancer Screening Studies.	10.3390/biom14010044	Biomolecules	2023	lung	LDCT	screening	True		0.95
41351704	Design of the first national lung cancer screening program in the European Union: the Croatian Model.	10.1007/s00330-025-12185-w	European radiology	2025	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
39818952	Toward a Computable Phenotype for Determining Eligibility of Lung Cancer Screening Using Electronic Health Records.	10.1200/CCI.24.00139	JCO clinical cancer informatics	2025	lung	LDCT	screening	True		0.7
40923891	Pulmonary Emphysema at Low-Dose CT Lung Cancer Screening: Assessment Tools and AI Challenges.	10.1148/radiol.252613	Radiology	2025	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
33502624	Wavelet decomposition facilitates training on small datasets for medical image classification by deep learning.	10.1007/s00418-020-01961-y	Histochemistry and cell biology	2021	lung	LDCT	screening	True		0.9
33092589	Artificial neural networks improve LDCT lung cancer screening: a comparative validation study.	10.1186/s12885-020-07465-1	BMC cancer	2020	lung	LDCT	screening	True		0.9
31732678	Pretreatment 18F-FDG PET/CT Radiomics Predict Local Recurrence in Patients Treated with Stereotactic Body Radiotherapy for Early-Stage Non-Small Cell Lung Cancer: A Multicentric Study.	10.2967/jnumed.119.228106	Journal of nuclear medicine : official publication, Society of Nuclear Medicine	2020	lung	LDCT	diagnosis	True		0.7
37801898	Long-term outcomes of lung cancer screening in males and females.	10.1016/j.lungcan.2023.107387	Lung cancer (Amsterdam, Netherlands)	2023	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
39347601	The American Cancer Society National Lung Cancer Roundtable strategic plan: Optimizing strategies for lung nodule evaluation and management.	10.1002/cncr.35181	Cancer	2024	lung	LDCT	screening	True		0.7
39278738	The added value of an AI-based body composition analysis in a lung cancer screening population: preliminary results.	10.1016/j.numecd.2024.07.013	Nutrition, metabolism, and cardiovascular diseases : NMCD	2025	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
29632061	Lung Cancer Screening, Version 3.2018, NCCN Clinical Practice Guidelines in Oncology.	10.6004/jnccn.2018.0020	Journal of the National Comprehensive Cancer Network : JNCCN	2018	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
40799807	Vision-Language Model-Based Semantic-Guided Imaging Biomarker for Lung Nodule Malignancy Prediction.	10.7937/TCIA.HMQ8-J677	ArXiv	2025	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bstate.of.the.art\b'	0.0
35176595	Pulmonary nodules detection assistant platform: An effective computer aided system for early pulmonary nodules detection in physical examination.	10.1016/j.cmpb.2022.106680	Computer methods and programs in biomedicine	2022	lung	LDCT	diagnosis	True		0.8
40237429	Artificial Intelligence for Low-Dose CT Lung Cancer Screening: Comparison of Utilization Scenarios.	10.2214/AJR.25.32829	AJR. American journal of roentgenology	2025	lung	LDCT	screening	True		0.7
40644803	Machine Learning-Assisted Multimodal Early Screening of Lung Cancer Based on a Multiplexed Laser-Induced Graphene Immunosensor.	10.1021/acsnano.5c02822	ACS nano	2025	lung	LDCT	screening	True		1.0
40833260	Characterizing the Impact of Training Data on Generalizability: Application in Deep Learning to Estimate Lung Nodule Malignancy Risk.	10.1148/ryai.240636	Radiology. Artificial intelligence	2025	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bcommentary\b'	0.0
35044988	Predictors of underutilization of lung cancer screening: a machine learning approach.	10.1097/CEJ.0000000000000742	European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP)	2022	lung	LDCT	screening	True		0.8
37098234	Expanding the Reach and Grasp of Lung Cancer Screening.	10.1200/EDBK_389958	American Society of Clinical Oncology educational book. American Society of Clinical Oncology. Annual Meeting	2023	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
41570629	Comparative analysis of lung-RADS 2022 and Fleischner's 2017 guidelines.	10.1016/j.clinimag.2026.110730	Clinical imaging	2026	other	LDCT	screening	False	No cancer mention	0.0
40141842	New Perspectives on Lung Cancer Screening and Artificial Intelligence.	10.3390/life15030498	Life (Basel, Switzerland)	2025	lung	LDCT	screening	True		0.95
36077686	Lung Cancer Recurrence Risk Prediction through Integrated Deep Learning Evaluation.	10.3390/cancers14174150	Cancers	2022	lung	LDCT	screening	True		0.9
41413294	Budget Impact of the LungFlag™ Predictive Risk Model for Lung Cancer Screening.	10.1007/s41669-025-00627-6	PharmacoEconomics - open	2026	lung	LDCT	screening	True		0.7
36228594	Incidental Pulmonary Nodules - What Do We Know in 2022.	10.1159/000526818	Respiration; international review of thoracic diseases	2022	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
35530343	Development of Diagnosis Model for Early Lung Nodules Based on a Seven Autoantibodies Panel and Imaging Features.	10.3389/fonc.2022.883543	Frontiers in oncology	2022	lung	LDCT	screening	True		0.9
36292015	Single CT Appointment for Double Lung and Colorectal Cancer Screening: Is the Time Ripe?	10.3390/diagnostics12102326	Diagnostics (Basel, Switzerland)	2022	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
39231830	Artificial intelligence assisted automatic screening of opportunistic osteoporosis in computed tomography images from different scanners.	10.1007/s00330-024-11046-2	European radiology	2025	lung	LDCT	screening	True		0.7
41928658	MRI for Lung Cancer Management: Any Closer to Clinical Application?	10.1002/jmri.70308	Journal of magnetic resonance imaging : JMRI	2026	lung	LDCT	screening	True		0.7
35330417	Deep Multi-Objective Learning from Low-Dose CT for Automatic Lung-RADS Report Generation.	10.3390/jpm12030417	Journal of personalized medicine	2022	lung	LDCT	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
41594162	Voxel Normalization in LDCT Imaging: Its Significance in Texture Feature Selection for Pulmonary Nodule Malignancy Classification: Insights from Two Centers.	10.3390/diagnostics16020186	Diagnostics (Basel, Switzerland)	2026	lung	LDCT	diagnosis	True		1.0
40340737	The present and future of lung cancer screening: latest evidence.	10.1080/14796694.2025.2501516	Future oncology (London, England)	2025	lung	other	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
38355174	Integrating artificial intelligence into lung cancer screening: a randomised controlled trial protocol.	10.1136/bmjopen-2023-074680	BMJ open	2024	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
33250956	DeepSEED: 3D Squeeze-and-Excitation Encoder-Decoder Convolutional Neural Networks for Pulmonary Nodule Detection.	10.1109/ISBI45749.2020.9098317	Proceedings. IEEE International Symposium on Biomedical Imaging	2020	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bstate.of.the.art\b'	0.0
40082126	Automated Fast Prediction of Bone Mineral Density From Low-dose Computed Tomography.	10.1016/j.acra.2025.02.041	Academic radiology	2025	lung	LDCT	screening	True		0.9
38569236	Robust deep learning from incomplete annotation for accurate lung nodule detection.	10.1016/j.compbiomed.2024.108361	Computers in biology and medicine	2024	lung	LDCT	diagnosis	True		0.8
40208581	Quantitative Computed Tomography Measures of Lung Fibrosis and Outcomes in the National Lung Screening Trial.	10.1513/AnnalsATS.202410-1048OC	Annals of the American Thoracic Society	2025	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
40533607	Innovative technologies and their clinical prospects for early lung cancer screening.	10.1007/s10238-025-01752-6	Clinical and experimental medicine	2025	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bsystematic review\b'	0.0
40125138	Artificial Intelligence and Early Detection of Breast, Lung, and Colon Cancer: A Narrative Review.	10.7759/cureus.79199	Cureus	2025	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bnarrative review\b'	0.0
33691657	A prediction model based on DNA methylation biomarkers and radiological characteristics for identifying malignant from benign pulmonary nodules.	10.1186/s12885-021-08002-4	BMC cancer	2021	lung	LDCT	diagnosis	True		0.95
29713615	Lung Nodule Detection via Deep Reinforcement Learning.	10.3389/fonc.2018.00108	Frontiers in oncology	2018	lung	LDCT	screening	True		0.9
39053365	Machine learning computational model to predict lung cancer using electronic medical records.	10.1016/j.canep.2024.102631	Cancer epidemiology	2024	lung	LDCT	screening	True		0.7
37526548	Prior CT Improves Deep Learning for Malignancy Risk Estimation of Screening-detected Pulmonary Nodules.	10.1148/radiol.223308	Radiology	2023	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\beditorial\b'	0.0
37658722	Lung Cancer Screening: Low-Dose Thoracic Computed Tomography Performed in a High-Risk Portuguese Population.	10.20344/amp.16847	Acta medica portuguesa	2023	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
35406501	Cost-Effectiveness of Artificial Intelligence Support in Computed Tomography-Based Lung Cancer Screening.	10.3390/cancers14071729	Cancers	2022	lung	LDCT	screening	True		0.8
39488797	A Systematic Literature Review of Modelling Approaches to Evaluate the Cost Effectiveness of PET/CT for Therapy Response Monitoring in Oncology.	10.1007/s40273-024-01447-y	PharmacoEconomics	2025	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bliterature review\b'	0.0
36210060	Image quality improvement in low-dose chest CT with deep learning image reconstruction.	10.1002/acm2.13796	Journal of applied clinical medical physics	2022	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
35866406	Deep Learning Empowers Lung Cancer Screening Based on Mobile Low-Dose Computed Tomography in Resource-Constrained Sites.	10.31083/j.fbl2707212	Frontiers in bioscience (Landmark edition)	2022	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bstate.of.the.art\b'	0.0
36434060	Lung_PAYNet: a pyramidal attention based deep learning network for lung nodule segmentation.	10.1038/s41598-022-24900-4	Scientific reports	2022	lung	LDCT	early_detection	True		0.87
36292124	The Potential Role of Artificial Intelligence in Lung Cancer Screening Using Low-Dose Computed Tomography.	10.3390/diagnostics12102435	Diagnostics (Basel, Switzerland)	2022	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
34461501	A survey of computer-aided diagnosis of lung nodules from CT scans using deep learning.	10.1016/j.compbiomed.2021.104806	Computers in biology and medicine	2021	lung	LDCT	screening	True		1.0
